,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore,total
195,female,group B,high school,standard,none,married,regularly,yes,2,private,< 5,69,74,75,218
196,male,group B,associate's degree,standard,completed,married,regularly,,2,school_bus,05-Oct,80,78,75,233
197,male,group E,bachelor's degree,free/reduced,,married,regularly,yes,3,school_bus,05-Oct,66,64,65,195
198,female,group C,bachelor's degree,standard,completed,single,sometimes,no,1,school_bus,< 5,44,52,57,153
199,female,group E,master's degree,standard,completed,divorced,regularly,yes,2,private,> 10,100,100,100,300
200,female,group D,,standard,completed,divorced,never,,1,private,> 10,78,90,88,256
201,male,group E,high school,standard,completed,divorced,sometimes,yes,3,,05-Oct,86,80,82,248
202,female,group A,some college,free/reduced,none,married,regularly,yes,0,school_bus,05-Oct,51,58,58,167
203,male,group C,associate's degree,standard,none,single,regularly,yes,1,private,05-Oct,92,93,86,271
204,female,group C,,standard,none,married,regularly,yes,1,private,> 10,62,63,69,194
205,male,,associate's degree,free/reduced,completed,single,sometimes,yes,0,school_bus,05-Oct,74,79,76,229
206,female,,some college,standard,none,divorced,sometimes,yes,4,private,> 10,69,75,72,216
207,male,group C,some high school,free/reduced,none,single,sometimes,yes,2,school_bus,< 5,76,67,62,205
208,female,group B,associate's degree,free/reduced,none,married,sometimes,yes,4,private,05-Oct,57,70,66,193
209,female,group E,,standard,completed,married,sometimes,yes,7,school_bus,05-Oct,93,100,100,293
210,female,group B,master's degree,free/reduced,completed,married,sometimes,no,3,school_bus,05-Oct,48,55,59,162
211,female,group D,some high school,free/reduced,completed,single,regularly,,0,school_bus,05-Oct,51,61,69,181
212,female,group D,associate's degree,standard,completed,married,never,,3,school_bus,> 10,74,88,87,249
213,male,group C,bachelor's degree,free/reduced,completed,single,regularly,yes,1,private,05-Oct,67,72,73,212
214,female,group E,associate's degree,free/reduced,none,married,never,no,1,private,< 5,64,74,72,210
215,female,group B,high school,free/reduced,completed,single,sometimes,no,1,school_bus,> 10,66,77,75,218
216,female,group B,associate's degree,standard,completed,married,sometimes,no,3,school_bus,< 5,66,78,78,222
217,male,group D,associate's degree,free/reduced,none,married,sometimes,yes,1,private,05-Oct,64,66,67,197
218,female,group B,some college,standard,completed,married,never,yes,4,private,< 5,63,77,77,217
219,male,group C,high school,standard,completed,divorced,sometimes,yes,2,,< 5,52,49,46,147
220,female,group B,high school,standard,none,married,sometimes,yes,3,school_bus,05-Oct,66,80,66,212
221,male,group D,some high school,standard,none,married,regularly,yes,1,school_bus,> 10,57,54,48,159
222,female,group B,some high school,free/reduced,none,married,never,yes,2,private,05-Oct,60,65,65,190
223,male,group D,some high school,standard,completed,married,sometimes,no,,,< 5,72,75,75,222
224,male,group C,bachelor's degree,free/reduced,none,single,sometimes,yes,3,private,< 5,57,45,41,143
225,male,group E,bachelor's degree,standard,none,married,sometimes,yes,6,school_bus,05-Oct,63,57,53,173
226,female,group B,associate's degree,standard,completed,married,regularly,yes,0,private,05-Oct,73,82,82,237
227,female,group B,some college,standard,none,married,never,no,1,school_bus,< 5,63,74,64,201
228,female,group B,high school,standard,none,married,sometimes,no,2,private,> 10,77,89,84,250
229,female,group D,associate's degree,standard,completed,married,never,yes,,school_bus,< 5,89,97,95,281
230,female,group A,associate's degree,free/reduced,none,divorced,regularly,,0,private,> 10,22,43,34,99
231,male,group A,high school,standard,none,divorced,never,yes,1,private,05-Oct,81,81,72,234
232,male,group A,some college,standard,none,married,sometimes,no,4,private,< 5,64,66,59,189
233,female,,some college,standard,,married,regularly,yes,3,school_bus,> 10,84,94,92,270
235,female,group C,some college,standard,none,married,never,yes,4,,05-Oct,43,51,47,141
237,male,group C,high school,standard,none,married,sometimes,yes,1,school_bus,05-Oct,67,63,56,186
238,female,group B,associate's degree,standard,completed,married,sometimes,yes,0,school_bus,> 10,89,98,97,284
239,female,group D,high school,standard,completed,married,regularly,yes,1,private,> 10,100,99,100,299
240,female,group E,bachelor's degree,standard,none,married,regularly,yes,0,school_bus,,89,94,97,280
241,female,group B,high school,free/reduced,none,married,sometimes,yes,3,private,05-Oct,55,67,57,179
242,female,group E,,standard,none,married,sometimes,yes,,school_bus,< 5,51,53,43,147
243,female,group D,some high school,standard,none,married,sometimes,no,1,school_bus,05-Oct,86,95,85,266
244,male,group B,some high school,free/reduced,completed,married,regularly,yes,2,school_bus,> 10,51,56,51,158
245,male,group B,master's degree,standard,none,married,never,yes,4,private,> 10,50,35,40,125
246,male,group D,some college,standard,none,married,regularly,no,5,,05-Oct,75,59,66,200
247,male,group D,master's degree,free/reduced,completed,divorced,sometimes,yes,3,school_bus,,62,54,65,181
248,female,group D,some college,standard,none,divorced,,yes,0,,< 5,77,76,75,228
249,male,,some high school,free/reduced,completed,single,sometimes,no,1,school_bus,> 10,44,57,48,149
250,female,group B,some college,standard,none,married,never,yes,2,school_bus,> 10,33,39,36,108
252,female,group D,some college,standard,none,married,sometimes,yes,1,private,< 5,57,67,69,193
253,female,group C,some high school,standard,completed,married,sometimes,no,4,school_bus,< 5,54,70,66,190
254,male,group E,some high school,free/reduced,none,single,sometimes,yes,4,private,05-Oct,72,58,57,187
255,female,group B,master's degree,free/reduced,none,single,regularly,no,3,,05-Oct,56,63,64,183
256,male,group D,associate's degree,standard,,single,regularly,yes,3,,05-Oct,65,52,59,176
257,female,group D,bachelor's degree,standard,none,married,sometimes,yes,,school_bus,05-Oct,69,64,68,201
258,female,group C,associate's degree,standard,none,,sometimes,yes,0,private,< 5,62,69,68,199
260,male,group D,high school,standard,completed,married,regularly,yes,2,school_bus,05-Oct,67,73,67,207
261,female,group D,master's degree,free/reduced,none,single,sometimes,no,,,> 10,73,89,88,250
262,male,group D,associate's degree,standard,none,single,sometimes,yes,4,,05-Oct,69,70,67,206
263,female,group B,associate's degree,standard,completed,single,never,yes,2,private,> 10,61,75,80,216
264,female,group E,high school,standard,none,married,regularly,no,2,,05-Oct,70,80,77,227
265,male,group D,some college,standard,completed,single,sometimes,,4,private,05-Oct,93,95,86,274
266,female,group C,some high school,standard,completed,single,sometimes,no,2,private,05-Oct,65,66,74,205
267,male,,some college,free/reduced,completed,single,sometimes,yes,4,school_bus,> 10,61,66,63,190
268,male,,associate's degree,free/reduced,none,,never,yes,2,,05-Oct,39,47,40,126
269,male,group E,,standard,none,divorced,sometimes,yes,2,private,05-Oct,91,80,82,253
270,female,group B,some high school,free/reduced,completed,married,regularly,yes,2,school_bus,05-Oct,48,66,66,180
271,female,,master's degree,standard,completed,married,sometimes,yes,,private,< 5,70,83,81,234
272,female,group C,,standard,none,married,never,yes,0,school_bus,05-Oct,49,62,58,169
274,male,group C,some high school,free/reduced,completed,married,regularly,yes,5,school_bus,05-Oct,66,60,56,182
275,female,group B,some high school,free/reduced,completed,married,never,yes,5,school_bus,05-Oct,39,63,59,161
276,female,group D,some college,standard,completed,single,never,yes,3,private,> 10,96,99,98,293
277,female,group E,high school,free/reduced,none,single,never,yes,4,,> 10,71,73,72,216
278,female,group B,associate's degree,free/reduced,none,single,sometimes,yes,4,private,< 5,41,66,58,165
279,male,group C,some high school,standard,completed,married,regularly,yes,1,school_bus,< 5,96,86,86,268
280,female,group D,bachelor's degree,standard,completed,widowed,sometimes,yes,7,private,05-Oct,80,81,86,247
282,female,,high school,free/reduced,completed,married,never,yes,1,private,,62,67,74,203
283,male,group B,some college,free/reduced,none,married,regularly,yes,2,school_bus,< 5,47,45,39,131
284,female,group E,associate's degree,free/reduced,none,married,never,yes,0,private,> 10,80,88,88,256
285,female,group A,bachelor's degree,standard,none,single,sometimes,yes,3,private,> 10,78,81,88,247
286,male,group D,some high school,free/reduced,none,single,sometimes,no,1,school_bus,> 10,76,70,65,211
287,female,group C,associate's degree,standard,none,divorced,never,no,,private,< 5,67,85,76,228
288,male,group E,,standard,completed,married,sometimes,no,3,school_bus,05-Oct,71,67,66,204
289,male,group A,high school,free/reduced,none,married,sometimes,yes,2,school_bus,< 5,49,42,43,134
290,female,group D,master's degree,standard,completed,married,sometimes,yes,1,school_bus,> 10,78,86,89,253
291,male,group C,bachelor's degree,standard,completed,,regularly,yes,3,,> 10,85,79,85,249
293,female,group C,high school,standard,completed,divorced,regularly,yes,5,,05-Oct,55,60,64,179
294,female,group C,master's degree,free/reduced,none,single,sometimes,yes,4,school_bus,05-Oct,61,71,72,204
295,male,group E,some college,free/reduced,none,married,never,no,1,private,< 5,67,72,64,203
296,male,group C,high school,free/reduced,completed,single,sometimes,yes,2,,05-Oct,53,53,57,163
297,male,group D,some high school,standard,none,single,never,yes,0,school_bus,< 5,61,59,56,176
298,female,group C,some high school,standard,completed,single,sometimes,yes,3,school_bus,< 5,45,59,58,162
300,female,group E,bachelor's degree,standard,completed,married,never,yes,,private,> 10,69,78,82,229
301,female,group B,some college,standard,none,divorced,regularly,yes,3,private,05-Oct,63,86,86,235
302,female,group C,some high school,standard,none,single,never,no,1,school_bus,05-Oct,75,96,85,256
304,female,group C,,free/reduced,completed,married,never,no,5,private,< 5,32,51,56,139
305,female,group C,associate's degree,free/reduced,none,divorced,regularly,no,3,private,> 10,57,77,78,212
307,male,group B,master's degree,standard,none,married,sometimes,yes,2,private,05-Oct,78,63,67,208
308,male,group B,some high school,standard,,divorced,regularly,yes,3,school_bus,> 10,49,56,52,157
309,male,group E,associate's degree,standard,none,single,never,no,3,school_bus,05-Oct,97,87,87,271
310,female,group D,some high school,standard,none,married,regularly,no,2,private,05-Oct,66,72,64,202
311,female,group C,high school,standard,completed,divorced,regularly,,1,school_bus,> 10,79,83,84,246
312,female,group D,some college,standard,none,married,sometimes,yes,5,private,> 10,65,69,73,207
313,male,group C,master's degree,free/reduced,completed,married,regularly,yes,1,private,> 10,62,47,53,162
314,male,group B,some high school,standard,none,single,regularly,yes,0,private,< 5,78,76,72,226
315,female,group B,some college,standard,none,divorced,regularly,yes,1,school_bus,< 5,47,54,50,151
316,female,group C,some high school,standard,none,married,sometimes,yes,0,school_bus,> 10,60,66,64,190
317,female,group C,some high school,standard,none,married,sometimes,yes,2,private,05-Oct,65,77,68,210
318,female,group C,high school,standard,completed,married,regularly,no,,private,,74,100,96,270
319,male,,some college,standard,none,,sometimes,no,,school_bus,05-Oct,53,51,48,152
320,male,group D,associate's degree,free/reduced,none,single,sometimes,yes,2,school_bus,05-Oct,83,79,84,246
321,female,group D,associate's degree,free/reduced,completed,single,sometimes,no,4,school_bus,05-Oct,82,94,98,274
322,female,group D,some college,standard,none,single,regularly,yes,4,school_bus,05-Oct,70,63,70,203
323,female,group C,bachelor's degree,free/reduced,completed,divorced,sometimes,yes,5,private,05-Oct,44,57,53,154
324,male,group B,bachelor's degree,free/reduced,completed,married,never,yes,3,,< 5,79,91,85,255
325,female,group D,associate's degree,standard,completed,married,never,yes,3,school_bus,> 10,69,84,86,239
326,male,group C,some high school,standard,completed,,sometimes,no,2,school_bus,05-Oct,73,82,74,229
327,female,,master's degree,standard,completed,single,regularly,yes,4,school_bus,05-Oct,75,81,80,236
328,female,group E,some college,free/reduced,none,married,sometimes,yes,2,private,05-Oct,55,67,61,183
329,male,,associate's degree,standard,none,married,sometimes,,1,private,05-Oct,51,47,47,145
330,female,group D,some college,standard,completed,married,sometimes,yes,2,school_bus,05-Oct,52,69,67,188
331,female,group C,high school,free/reduced,none,divorced,sometimes,yes,1,private,05-Oct,27,36,33,96
332,female,group C,associate's degree,standard,none,single,regularly,no,1,,< 5,50,65,63,178
333,male,group B,some college,standard,completed,married,sometimes,yes,2,private,05-Oct,81,78,82,241
334,male,group A,bachelor's degree,standard,none,single,sometimes,yes,0,private,05-Oct,90,78,76,244
335,female,group B,high school,standard,none,divorced,regularly,yes,1,private,> 10,70,69,71,210
336,male,group C,high school,standard,none,divorced,regularly,yes,2,school_bus,< 5,64,70,64,198
337,male,group C,bachelor's degree,free/reduced,completed,single,sometimes,yes,3,school_bus,05-Oct,72,77,70,219
338,female,group C,,free/reduced,completed,widowed,regularly,yes,1,private,< 5,61,83,86,230
339,female,group C,some high school,free/reduced,none,married,regularly,no,2,private,05-Oct,55,70,66,191
340,female,group C,high school,standard,none,married,regularly,yes,1,school_bus,05-Oct,87,95,94,276
341,female,group B,some college,standard,completed,married,sometimes,yes,0,private,< 5,65,70,76,211
342,female,group C,associate's degree,free/reduced,none,married,sometimes,yes,0,school_bus,05-Oct,60,77,71,208
343,female,group D,some college,standard,none,married,sometimes,no,1,private,< 5,77,80,82,239
344,female,group A,some high school,standard,none,married,sometimes,no,4,school_bus,05-Oct,70,74,77,221
346,male,group A,bachelor's degree,standard,none,married,sometimes,no,,private,,57,58,56,171
347,male,group C,associate's degree,standard,completed,single,never,yes,2,school_bus,> 10,68,64,61,193
348,male,group C,,free/reduced,none,single,sometimes,no,3,private,< 5,42,39,37,118
349,male,group A,high school,standard,,divorced,regularly,yes,2,private,> 10,85,72,69,226
350,male,group E,high school,standard,none,married,regularly,no,3,school_bus,05-Oct,79,76,75,230
351,female,group C,associate's degree,free/reduced,,single,regularly,yes,3,private,> 10,65,62,65,192
352,female,group C,bachelor's degree,standard,none,married,regularly,no,3,school_bus,> 10,70,62,67,199
353,male,group D,high school,standard,completed,,sometimes,no,3,school_bus,< 5,74,71,72,217
354,female,group C,high school,free/reduced,none,married,regularly,yes,5,private,> 10,43,53,43,139
355,female,group D,high school,free/reduced,none,married,sometimes,no,2,school_bus,05-Oct,51,60,57,168
356,male,group C,,standard,none,single,never,yes,2,private,05-Oct,55,60,54,169
357,female,group C,associate's degree,standard,none,single,regularly,yes,0,private,05-Oct,84,95,97,276
358,female,group C,high school,free/reduced,none,married,regularly,yes,0,school_bus,< 5,51,56,58,165
360,female,group A,some high school,free/reduced,none,single,regularly,no,4,school_bus,05-Oct,22,30,24,76
361,male,group C,some high school,free/reduced,completed,divorced,regularly,yes,0,private,05-Oct,51,50,54,155
362,male,group E,high school,standard,completed,single,sometimes,yes,2,school_bus,< 5,81,60,64,205
363,female,group B,some high school,standard,none,single,sometimes,yes,3,private,05-Oct,59,54,56,169
364,male,group E,some college,standard,none,married,sometimes,yes,1,school_bus,< 5,68,65,62,195
365,male,group A,some college,standard,completed,single,regularly,yes,,school_bus,05-Oct,80,69,67,216
366,female,group A,associate's degree,standard,none,divorced,sometimes,yes,0,school_bus,05-Oct,53,69,62,184
367,female,group B,some college,free/reduced,completed,married,regularly,yes,1,school_bus,< 5,62,74,72,208
368,female,group C,some college,standard,completed,married,regularly,no,3,private,05-Oct,56,66,69,191
369,male,group C,associate's degree,standard,none,single,regularly,yes,1,school_bus,05-Oct,67,60,64,191
370,male,group C,some high school,free/reduced,none,single,sometimes,yes,3,private,< 5,43,51,46,140
371,female,group E,some high school,standard,none,married,regularly,yes,2,private,05-Oct,77,84,80,241
372,female,group C,some college,free/reduced,none,divorced,regularly,no,3,private,05-Oct,58,75,73,206
373,female,group B,bachelor's degree,standard,none,divorced,sometimes,yes,2,school_bus,< 5,72,76,78,226
374,male,group A,some high school,free/reduced,none,married,sometimes,yes,2,private,< 5,44,39,38,121
375,female,group C,associate's degree,free/reduced,none,single,regularly,yes,5,school_bus,> 10,57,66,64,187
376,male,group D,some college,standard,completed,,sometimes,yes,0,school_bus,> 10,96,96,99,291
377,male,group C,some college,standard,completed,married,sometimes,,3,school_bus,< 5,63,62,60,185
378,male,group A,master's degree,standard,none,married,regularly,no,5,private,> 10,63,50,53,166
379,male,group D,some college,standard,completed,single,regularly,yes,,school_bus,< 5,69,70,75,214
380,female,group D,some high school,free/reduced,none,divorced,regularly,no,4,private,05-Oct,53,68,67,188
381,male,group D,some college,standard,none,single,never,no,,school_bus,> 10,63,67,65,195
382,female,group C,high school,standard,none,married,regularly,yes,5,private,> 10,59,76,72,207
383,female,group C,bachelor's degree,standard,none,married,never,no,1,school_bus,> 10,38,42,39,119
384,female,group B,bachelor's degree,standard,,married,never,no,3,school_bus,< 5,75,82,90,247
385,female,group C,some high school,free/reduced,completed,single,sometimes,yes,3,school_bus,< 5,38,52,56,146
386,male,group D,some high school,standard,none,divorced,sometimes,yes,1,school_bus,05-Oct,62,49,47,158
387,male,group E,high school,standard,none,married,sometimes,yes,1,private,05-Oct,95,83,83,261
388,male,group E,some college,standard,none,married,regularly,yes,3,private,05-Oct,100,89,85,274
389,female,group D,some high school,free/reduced,completed,married,regularly,no,3,school_bus,05-Oct,57,63,62,182
390,male,group D,high school,standard,none,married,regularly,yes,3,private,< 5,74,65,65,204
391,male,group D,bachelor's degree,standard,none,,regularly,yes,1,school_bus,05-Oct,57,62,60,179
392,male,group C,associate's degree,standard,none,single,sometimes,yes,1,private,05-Oct,71,53,50,174
393,male,group D,some college,free/reduced,none,married,sometimes,yes,1,school_bus,05-Oct,71,72,66,209
394,female,group B,some college,free/reduced,none,married,sometimes,yes,0,school_bus,05-Oct,44,49,53,146
395,female,,,free/reduced,none,divorced,sometimes,no,1,school_bus,< 5,67,80,80,227
396,male,group D,associate's degree,standard,none,single,regularly,yes,1,school_bus,05-Oct,100,86,86,272
397,male,group C,bachelor's degree,standard,none,single,regularly,no,3,private,05-Oct,73,65,63,201
398,female,group C,some high school,standard,completed,single,regularly,yes,3,private,> 10,56,59,62,177
399,male,group C,bachelor's degree,free/reduced,,married,sometimes,no,3,school_bus,< 5,63,59,57,179
400,female,group D,some high school,free/reduced,completed,divorced,regularly,yes,0,school_bus,< 5,58,72,71,201
401,male,group D,some high school,free/reduced,completed,married,never,no,3,school_bus,05-Oct,53,61,52,166
402,female,group C,some college,free/reduced,none,,regularly,yes,4,private,,59,68,63,190
403,female,group C,some high school,standard,none,divorced,sometimes,no,2,school_bus,> 10,70,73,71,214
404,female,group C,bachelor's degree,free/reduced,none,married,sometimes,yes,2,school_bus,> 10,67,86,87,240
405,female,group D,some high school,free/reduced,none,divorced,never,yes,2,,< 5,41,59,57,157
406,male,group E,some college,free/reduced,none,widowed,regularly,,,,> 10,81,63,59,203
407,female,,high school,standard,none,divorced,regularly,yes,2,school_bus,> 10,50,55,55,160
408,female,group C,master's degree,free/reduced,none,married,regularly,no,3,school_bus,05-Oct,74,90,90,254
409,female,group E,high school,standard,completed,married,regularly,yes,2,school_bus,05-Oct,64,71,70,205
410,female,group E,high school,free/reduced,none,married,regularly,yes,3,private,> 10,76,83,78,237
411,male,group D,bachelor's degree,standard,none,married,regularly,yes,5,,05-Oct,67,68,67,202
412,female,group C,some high school,free/reduced,completed,married,,yes,2,school_bus,05-Oct,54,55,65,174
413,male,group D,some high school,free/reduced,none,widowed,sometimes,,3,private,05-Oct,68,56,57,181
414,male,group D,bachelor's degree,standard,completed,divorced,sometimes,yes,1,private,05-Oct,100,97,100,297
415,male,group E,associate's degree,standard,none,married,sometimes,yes,3,private,> 10,93,74,67,234
416,female,group D,some college,standard,completed,divorced,never,no,1,school_bus,05-Oct,50,70,78,198
417,male,,high school,free/reduced,none,married,sometimes,no,2,private,< 5,64,67,65,196
418,female,group B,high school,standard,none,married,sometimes,no,2,school_bus,05-Oct,45,59,60,164
419,female,group A,some college,free/reduced,completed,married,sometimes,yes,2,school_bus,05-Oct,56,70,68,194
420,male,group E,some high school,standard,completed,married,sometimes,yes,3,school_bus,05-Oct,88,73,70,231
421,female,,associate's degree,standard,,,sometimes,no,1,,05-Oct,60,66,60,186
422,female,group C,some college,standard,,,sometimes,yes,,school_bus,> 10,56,61,62,179
423,male,group B,some high school,free/reduced,none,married,regularly,yes,1,school_bus,05-Oct,61,61,59,181
424,male,group C,bachelor's degree,standard,none,single,sometimes,no,4,school_bus,< 5,73,75,71,219
425,male,group C,,free/reduced,none,divorced,sometimes,yes,2,private,05-Oct,75,77,63,215
426,male,group B,associate's degree,free/reduced,completed,married,regularly,,2,school_bus,< 5,46,39,44,129
427,female,group B,some college,standard,completed,married,sometimes,yes,2,school_bus,,66,79,88,233
428,female,,high school,standard,none,married,sometimes,no,3,school_bus,05-Oct,39,46,40,125
429,male,group C,some college,standard,completed,divorced,sometimes,yes,3,school_bus,05-Oct,61,54,61,176
430,male,group E,some college,standard,none,married,sometimes,no,2,private,< 5,91,84,80,255
431,male,group A,associate's degree,standard,none,divorced,sometimes,yes,3,private,05-Oct,78,81,77,236
432,male,group B,some college,standard,completed,married,regularly,no,,school_bus,05-Oct,100,99,95,294
433,female,group C,high school,standard,none,single,sometimes,yes,2,school_bus,> 10,64,71,70,205
434,female,group E,some high school,standard,none,single,regularly,yes,1,school_bus,05-Oct,73,70,69,212
436,male,group E,some high school,free/reduced,none,single,regularly,no,3,,05-Oct,63,60,54,177
437,male,group C,associate's degree,standard,none,married,never,no,4,private,05-Oct,50,42,39,131
438,male,group C,high school,standard,none,married,sometimes,yes,1,school_bus,> 10,58,51,46,155
439,female,group D,some high school,standard,none,single,regularly,yes,3,school_bus,> 10,62,65,63,190
440,female,group D,associate's degree,standard,completed,,sometimes,yes,1,private,05-Oct,82,83,92,257
441,female,group D,bachelor's degree,standard,none,married,sometimes,no,1,school_bus,> 10,77,86,92,255
442,male,group C,master's degree,standard,none,divorced,regularly,no,4,school_bus,< 5,82,80,80,242
445,male,group D,bachelor's degree,standard,completed,married,sometimes,yes,1,,> 10,90,90,96,276
447,female,group A,high school,free/reduced,none,married,never,yes,2,private,< 5,55,68,66,189
448,female,group D,associate's degree,free/reduced,none,single,never,yes,3,school_bus,> 10,42,49,47,138
449,male,group E,some high school,free/reduced,none,single,regularly,yes,4,school_bus,05-Oct,36,36,38,110
450,female,group C,bachelor's degree,standard,none,single,never,yes,4,private,< 5,77,80,81,238
451,male,group C,bachelor's degree,free/reduced,none,married,sometimes,yes,3,,05-Oct,51,50,46,147
452,female,group B,some high school,standard,completed,married,sometimes,yes,1,private,> 10,64,76,70,210
453,male,group C,high school,standard,none,single,sometimes,yes,4,school_bus,05-Oct,49,45,44,138
454,male,group A,some college,free/reduced,,single,never,yes,1,school_bus,05-Oct,31,24,22,77
455,female,group E,associate's degree,free/reduced,none,single,sometimes,yes,1,private,05-Oct,94,96,87,277
456,female,group E,some high school,free/reduced,none,married,never,yes,2,private,< 5,27,39,36,102
457,female,group C,associate's degree,free/reduced,none,single,regularly,no,2,school_bus,< 5,51,66,61,178
458,female,group A,high school,standard,none,divorced,sometimes,yes,0,school_bus,05-Oct,68,68,63,199
459,female,group C,high school,standard,none,divorced,regularly,yes,0,school_bus,05-Oct,66,72,77,215
460,female,group B,,free/reduced,,married,regularly,no,3,school_bus,05-Oct,40,60,58,158
461,female,group D,,standard,none,divorced,sometimes,yes,1,,< 5,39,56,49,144
462,male,group D,,standard,none,married,sometimes,yes,1,private,05-Oct,57,58,56,171
463,female,group A,,standard,completed,single,sometimes,no,2,school_bus,05-Oct,74,79,82,235
464,male,group B,,standard,none,married,never,yes,2,private,,78,80,76,234
465,female,group A,some college,standard,completed,married,regularly,yes,1,school_bus,05-Oct,47,50,56,153
466,male,group C,some high school,standard,completed,married,regularly,no,1,private,05-Oct,67,69,65,201
467,male,group D,high school,free/reduced,,single,sometimes,,0,school_bus,05-Oct,82,79,71,232
468,female,group C,some high school,standard,none,,sometimes,no,1,school_bus,> 10,55,62,63,180
469,male,group B,associate's degree,standard,completed,divorced,regularly,yes,3,private,> 10,75,62,60,197
470,male,group B,high school,standard,none,single,regularly,yes,,school_bus,< 5,66,59,50,175
471,male,group D,some college,standard,completed,married,regularly,yes,2,school_bus,05-Oct,81,74,74,229
472,female,group D,associate's degree,standard,completed,married,regularly,yes,2,private,05-Oct,88,100,100,288
473,female,group D,some college,standard,,married,sometimes,yes,3,,< 5,77,87,84,248
474,male,group E,some college,standard,none,single,regularly,no,1,private,< 5,87,80,76,243
475,female,group B,some college,free/reduced,none,married,sometimes,yes,2,private,05-Oct,46,50,52,148
476,female,group C,high school,free/reduced,none,married,regularly,no,3,private,> 10,61,74,72,207
478,male,group B,high school,standard,none,married,sometimes,,2,private,< 5,43,37,35,115
479,female,group D,bachelor's degree,standard,none,divorced,sometimes,no,3,private,05-Oct,77,87,87,251
480,female,group B,some college,standard,none,married,never,yes,2,private,05-Oct,66,73,75,214
481,male,group D,some high school,standard,completed,married,,no,1,school_bus,< 5,78,78,82,238
482,female,group D,master's degree,free/reduced,completed,married,regularly,yes,2,school_bus,< 5,69,74,88,231
483,male,group E,some high school,free/reduced,none,married,regularly,no,1,school_bus,05-Oct,67,65,60,192
484,male,group D,associate's degree,free/reduced,,single,sometimes,yes,3,school_bus,05-Oct,62,69,54,185
485,female,group D,high school,free/reduced,none,married,never,yes,2,,05-Oct,54,65,61,180
486,female,group C,high school,standard,none,single,regularly,yes,0,private,05-Oct,62,82,75,219
487,female,,associate's degree,standard,none,,sometimes,yes,2,school_bus,05-Oct,63,69,59,191
488,female,group C,some college,standard,none,divorced,sometimes,yes,,school_bus,05-Oct,53,64,62,179
489,female,group C,associate's degree,standard,completed,married,never,yes,0,private,< 5,44,61,62,167
490,male,group C,some college,free/reduced,none,single,sometimes,no,1,school_bus,> 10,65,49,48,162
491,male,group E,bachelor's degree,standard,none,married,sometimes,yes,2,school_bus,05-Oct,80,71,73,224
492,male,group D,master's degree,standard,none,divorced,sometimes,yes,2,private,05-Oct,93,72,78,243
493,male,,bachelor's degree,free/reduced,none,single,sometimes,yes,1,school_bus,05-Oct,66,63,63,192
494,female,group C,bachelor's degree,standard,completed,single,regularly,yes,2,school_bus,,81,84,89,254
495,female,group C,some college,standard,completed,single,regularly,no,3,private,> 10,65,72,79,216
496,male,group D,,standard,none,single,sometimes,yes,1,school_bus,> 10,76,70,71,217
498,female,group C,high school,standard,none,married,never,yes,4,school_bus,05-Oct,60,62,66,188
499,male,group C,some college,standard,none,single,regularly,no,2,school_bus,05-Oct,59,60,61,180
500,female,group B,high school,standard,completed,divorced,regularly,yes,3,school_bus,> 10,65,66,71,202
501,female,group B,some college,free/reduced,none,single,sometimes,yes,1,private,> 10,54,71,66,191
502,female,group C,some high school,standard,none,divorced,sometimes,no,3,school_bus,05-Oct,72,87,82,241
503,male,group B,associate's degree,standard,completed,married,regularly,yes,0,private,05-Oct,90,84,88,262
504,female,group C,high school,standard,completed,single,sometimes,yes,1,school_bus,05-Oct,50,60,59,169
505,female,group B,some college,standard,none,single,never,yes,2,school_bus,< 5,49,56,53,158
506,male,group D,associate's degree,free/reduced,none,,never,no,2,school_bus,> 10,70,68,64,202
507,male,group C,some college,standard,none,divorced,regularly,yes,4,,05-Oct,95,81,79,255
508,male,group E,some high school,standard,none,divorced,regularly,yes,3,school_bus,05-Oct,71,50,59,180
509,female,group D,associate's degree,standard,none,single,sometimes,no,,school_bus,> 10,65,83,86,234
510,female,group D,associate's degree,free/reduced,completed,single,regularly,yes,6,school_bus,< 5,75,85,91,251
511,male,group E,high school,standard,none,married,regularly,no,1,,05-Oct,61,53,47,161
512,male,group E,bachelor's degree,standard,,widowed,sometimes,yes,,private,05-Oct,75,82,75,232
513,female,group B,associate's degree,standard,none,single,regularly,yes,2,private,> 10,83,80,81,244
514,female,group B,bachelor's degree,free/reduced,none,single,sometimes,yes,6,,05-Oct,63,82,74,219
515,male,group C,high school,free/reduced,none,divorced,sometimes,yes,2,school_bus,< 5,55,54,46,155
516,female,group B,some college,free/reduced,none,single,sometimes,no,3,school_bus,05-Oct,51,58,58,167
517,female,group C,some high school,standard,completed,divorced,regularly,no,5,private,,69,76,71,216
518,male,group B,associate's degree,standard,none,married,sometimes,yes,4,school_bus,05-Oct,63,51,50,164
519,female,group D,bachelor's degree,standard,completed,single,regularly,no,2,private,05-Oct,80,87,88,255
520,female,group D,associate's degree,free/reduced,completed,divorced,sometimes,yes,3,school_bus,05-Oct,67,78,85,230
521,male,group D,master's degree,standard,none,married,regularly,yes,5,school_bus,05-Oct,96,87,94,277
