,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,MathScore,ReadingScore,WritingScore,total
240,male,group C,some college,standard,completed,83,75,77,235
241,male,group B,some college,free/reduced,none,63,63,55,181
242,female,group A,bachelor's degree,standard,completed,83,93,100,276
243,female,group D,some college,standard,completed,72,85,85,242
244,female,group C,master's degree,standard,completed,59,59,68,186
245,male,group D,high school,standard,none,84,81,75,240
246,female,group D,bachelor's degree,standard,none,42,61,68,171
247,male,group D,some college,free/reduced,completed,60,54,59,173
248,female,group E,some high school,standard,none,63,59,59,181
249,female,group E,some college,standard,completed,63,71,75,209
250,female,group B,bachelor's degree,standard,none,97,92,99,288
251,male,group E,some college,standard,none,68,65,64,197
252,male,group B,some college,standard,completed,88,81,80,249
253,male,group D,some high school,standard,none,68,63,59,190
254,female,group B,some high school,standard,none,51,60,62,173
255,female,group B,bachelor's degree,standard,none,51,73,68,192
256,female,group E,high school,standard,none,67,77,73,217
258,female,group D,associate's degree,free/reduced,none,79,89,88,256
259,male,group E,bachelor's degree,standard,completed,88,76,77,241
260,male,group E,high school,standard,completed,96,97,90,283
261,male,group D,some high school,standard,none,58,59,54,171
262,male,group A,some high school,standard,none,77,78,72,227
263,male,group C,high school,free/reduced,none,37,39,40,116
264,female,group C,some college,free/reduced,none,47,55,50,152
265,male,group A,some college,free/reduced,none,57,61,59,177
266,female,group B,some college,standard,none,84,93,86,263
267,female,group E,associate's degree,free/reduced,none,88,98,92,278
268,male,group E,some high school,standard,completed,89,82,82,253
269,female,group C,high school,standard,completed,80,100,91,271
270,female,group C,high school,free/reduced,completed,55,70,71,196
271,female,group D,bachelor's degree,standard,none,80,73,84,237
272,male,group C,some college,standard,none,55,52,45,152
273,male,group E,some college,free/reduced,none,74,62,60,196
274,male,group A,some high school,standard,completed,79,71,73,223
275,female,group D,some college,standard,none,91,86,91,268
276,female,group C,high school,standard,completed,74,88,90,252
277,female,group C,high school,free/reduced,none,79,82,77,238
278,female,group A,high school,free/reduced,none,75,75,78,228
279,male,group E,high school,standard,none,49,51,50,150
280,female,group B,high school,standard,completed,77,83,88,248
281,male,group B,some college,standard,none,77,76,71,224
282,male,group E,some college,standard,none,70,66,60,196
283,male,group C,associate's degree,free/reduced,none,39,50,39,128
284,male,group E,some high school,standard,none,91,91,79,261
285,female,group C,high school,free/reduced,none,16,21,31,68
286,male,group A,some high school,standard,none,51,53,47,151
287,female,group C,associate's degree,standard,none,58,70,71,199
288,male,group B,some high school,standard,none,49,61,53,163
289,female,group C,associate's degree,free/reduced,none,50,56,56,162
290,male,group E,master's degree,free/reduced,none,97,83,74,254
291,female,group C,some college,standard,none,58,67,67,192
292,female,group A,some high school,standard,completed,74,79,80,233
293,female,group D,master's degree,standard,none,80,90,89,259
294,male,group B,some college,free/reduced,none,64,58,55,177
295,male,group C,some high school,free/reduced,completed,52,48,46,146
296,male,group B,associate's degree,standard,none,61,67,56,184
297,male,group E,associate's degree,standard,completed,90,86,83,259
298,male,group C,associate's degree,standard,none,45,46,44,135
299,female,group D,some college,standard,completed,70,78,85,233
300,female,group D,some college,standard,none,63,69,74,206
301,male,group D,master's degree,standard,none,91,96,91,278
302,female,group D,associate's degree,standard,completed,83,94,92,269
303,female,group C,some high school,free/reduced,none,38,54,51,143
304,male,group E,bachelor's degree,standard,none,79,68,66,213
305,male,group E,some high school,standard,completed,94,86,85,265
306,female,group D,associate's degree,free/reduced,completed,67,86,87,240
307,female,group E,some high school,standard,completed,56,68,71,195
308,female,group E,master's degree,standard,none,77,77,79,233
309,male,group C,bachelor's degree,free/reduced,none,70,66,64,200
310,male,group D,some high school,standard,none,90,88,82,260
311,male,group E,high school,standard,none,67,62,58,187
312,female,group C,associate's degree,free/reduced,none,73,87,87,247
313,female,group B,some college,standard,completed,38,48,55,141
314,female,group B,some college,free/reduced,none,57,69,70,196
315,male,group B,some college,standard,completed,70,73,70,213
316,male,group D,some high school,standard,completed,83,78,80,241
317,male,group C,some college,standard,none,82,84,83,249
318,female,group E,high school,free/reduced,none,83,88,86,257
319,female,group D,some college,standard,none,76,84,89,249
320,male,group B,some high school,free/reduced,none,51,68,63,182
321,male,group D,some high school,free/reduced,none,60,62,58,180
322,female,group C,high school,standard,completed,93,100,99,292
323,female,group E,some high school,free/reduced,none,79,84,81,244
324,male,group D,master's degree,free/reduced,completed,62,69,71,202
325,female,group A,some high school,standard,none,42,46,49,137
326,male,group D,some high school,free/reduced,none,54,52,46,152
327,male,group A,some college,standard,none,66,65,60,191
328,male,group A,bachelor's degree,standard,none,66,54,49,169
329,male,group C,bachelor's degree,free/reduced,none,55,57,54,166
330,male,group A,some college,free/reduced,none,79,75,74,228
331,female,group E,bachelor's degree,free/reduced,none,68,78,70,216
332,female,group B,some college,standard,completed,68,66,75,209
333,male,group D,high school,standard,completed,82,75,80,237
334,female,group D,some college,standard,completed,79,82,86,247
335,female,group B,associate's degree,standard,none,55,58,65,178
336,female,group B,some college,free/reduced,none,62,79,69,210
337,female,group C,high school,free/reduced,none,71,74,78,223
338,female,group B,bachelor's degree,standard,none,80,82,85,247
339,female,group D,associate's degree,standard,completed,62,77,79,218
340,female,group B,high school,standard,completed,69,74,72,215
341,female,group D,high school,standard,none,54,52,53,159
342,female,group B,associate's degree,standard,none,66,74,69,209
343,male,group E,associate's degree,standard,none,85,80,74,239
344,male,group D,associate's degree,standard,completed,79,85,83,247
345,female,group C,some college,free/reduced,none,50,56,54,160
346,female,group C,some college,standard,none,59,58,57,174
347,female,group C,some high school,standard,none,39,46,49,134
348,male,group C,some college,free/reduced,none,54,53,51,158
349,female,group C,high school,standard,completed,79,89,91,259
350,male,group D,high school,free/reduced,none,49,61,48,158
351,male,group A,high school,free/reduced,completed,55,67,66,188
352,male,group A,some high school,free/reduced,none,71,64,59,194
353,male,group C,some college,standard,none,73,70,67,210
354,male,group C,high school,standard,completed,84,82,79,245
355,male,group C,bachelor's degree,standard,completed,92,89,90,271
356,male,group E,master's degree,free/reduced,completed,76,86,84,246
357,male,group D,high school,free/reduced,none,78,74,66,218
358,male,group B,some high school,standard,completed,47,46,46,139
359,male,group E,some college,free/reduced,none,96,81,80,257
360,male,group D,high school,standard,completed,72,77,76,225
361,male,group B,some high school,standard,completed,61,60,55,176
362,female,group C,bachelor's degree,free/reduced,completed,51,54,56,161
363,female,group C,some high school,standard,none,60,75,62,197
364,male,group C,associate's degree,free/reduced,completed,71,71,67,209
365,female,group B,high school,standard,none,42,47,50,139
366,male,group D,high school,standard,none,61,52,54,167
367,female,group B,high school,free/reduced,none,39,56,46,141
368,female,group D,associate's degree,standard,completed,96,100,100,296
369,female,group B,high school,standard,completed,59,66,74,199
370,female,group C,bachelor's degree,standard,completed,80,100,94,274
371,female,group D,some high school,standard,none,58,64,67,189
372,female,group A,associate's degree,standard,completed,48,59,59,166
373,female,group A,high school,free/reduced,none,54,63,57,174
374,female,group C,some college,standard,none,59,73,81,213
375,female,group C,some high school,standard,completed,58,70,71,199
376,male,group E,master's degree,free/reduced,none,73,71,71,215
377,female,group D,associate's degree,standard,completed,80,88,93,261
378,female,group D,bachelor's degree,standard,none,47,62,57,166
379,male,group D,bachelor's degree,free/reduced,completed,74,76,79,229
380,male,group B,master's degree,free/reduced,none,61,59,60,180
381,female,group B,some college,standard,completed,42,57,54,153
382,male,group B,high school,free/reduced,completed,60,58,60,178
383,male,group C,some high school,free/reduced,none,41,38,36,115
384,male,group C,some college,free/reduced,completed,59,70,66,195
385,female,group E,associate's degree,standard,none,78,79,83,240
386,male,group B,bachelor's degree,free/reduced,none,47,47,48,142
387,male,group C,associate's degree,standard,none,70,69,59,198
388,male,group C,some high school,free/reduced,none,59,54,52,165
389,male,group E,high school,free/reduced,none,77,67,69,213
390,female,group B,master's degree,standard,none,39,48,46,133
391,male,group B,some high school,standard,completed,72,75,77,224
392,male,group A,some high school,standard,none,68,63,55,186
393,female,group B,bachelor's degree,free/reduced,none,51,56,60,167
394,female,group A,associate's degree,standard,completed,90,100,100,290
395,female,group B,master's degree,standard,completed,59,76,71,206
396,female,group A,associate's degree,free/reduced,none,43,46,44,133
397,male,group D,associate's degree,standard,none,66,65,69,200
398,male,group B,associate's degree,standard,none,81,78,73,232
399,female,group D,high school,free/reduced,none,47,63,62,172
400,male,group E,high school,standard,none,73,70,58,201
401,female,group B,some high school,standard,completed,58,65,66,189
402,female,group C,associate's degree,standard,none,95,100,97,292
403,female,group C,associate's degree,standard,none,95,96,91,282
404,male,group E,some college,standard,none,76,68,62,206
405,female,group C,some college,standard,none,67,73,70,210
406,female,group E,associate's degree,free/reduced,none,64,74,71,209
407,female,group B,associate's degree,standard,none,82,93,90,265
408,male,group A,associate's degree,free/reduced,none,55,56,54,165
409,female,group B,some college,standard,none,39,52,46,137
410,male,group B,some college,free/reduced,completed,62,56,52,170
411,male,group C,bachelor's degree,standard,completed,100,94,99,293
412,male,group B,master's degree,free/reduced,none,55,60,56,171
413,female,group C,high school,free/reduced,none,34,51,53,138
414,male,group B,some high school,standard,none,49,46,42,137
415,male,group C,bachelor's degree,standard,completed,100,96,99,295
416,female,group C,associate's degree,free/reduced,completed,69,83,79,231
417,male,group D,bachelor's degree,standard,none,77,73,72,222
418,female,group B,high school,free/reduced,none,48,64,60,172
419,female,group C,master's degree,standard,none,63,65,62,190
420,female,group D,master's degree,standard,none,40,50,56,146
421,male,group D,some college,standard,completed,100,93,99,292
422,female,group E,some college,standard,none,77,67,73,217
423,male,group D,associate's degree,standard,none,71,70,73,214
424,female,group A,some high school,standard,none,39,49,51,139
425,male,group E,some high school,standard,completed,86,75,75,236
426,male,group B,some college,free/reduced,completed,82,76,84,242
427,female,group C,some college,free/reduced,none,52,66,63,181
428,male,group D,high school,standard,completed,64,50,54,168
429,female,group E,some college,free/reduced,none,80,85,75,240
431,female,group D,high school,standard,none,75,89,89,253
432,male,group B,some college,standard,none,56,49,49,154
433,male,group E,some high school,free/reduced,none,90,86,78,254
434,female,group D,associate's degree,free/reduced,none,54,64,67,185
435,male,group D,some high school,standard,completed,82,75,73,230
436,male,group B,some high school,standard,none,60,52,53,165
437,male,group E,some college,free/reduced,none,61,54,50,165
438,male,group C,associate's degree,standard,completed,85,85,84,254
439,male,group D,associate's degree,free/reduced,none,51,58,56,165
440,female,group E,high school,standard,completed,74,77,71,222
441,female,group D,high school,standard,none,43,49,49,141
442,female,group C,some high school,standard,none,31,40,37,108
443,female,group C,some high school,standard,none,64,65,58,187
444,male,group A,high school,free/reduced,completed,68,63,58,189
445,female,group B,associate's degree,standard,none,90,79,81,250
446,female,group C,some college,free/reduced,none,34,42,38,114
447,male,group E,some college,free/reduced,none,40,43,34,117
448,male,group C,high school,standard,completed,70,63,70,203
449,female,group D,some high school,standard,completed,62,67,73,202
450,male,group D,associate's degree,free/reduced,completed,64,67,69,200
451,male,group C,some college,standard,none,68,67,67,202
452,male,group C,high school,standard,none,82,77,72,231
453,female,group E,some high school,standard,none,68,71,70,209
454,female,group B,high school,free/reduced,none,53,68,67,188
455,male,group D,high school,standard,completed,80,76,74,230
456,male,group B,some college,standard,completed,83,93,90,266
457,male,group C,associate's degree,free/reduced,none,55,58,51,164
458,female,group D,bachelor's degree,free/reduced,completed,60,75,70,205
459,female,group D,high school,standard,completed,66,79,84,229
460,female,group C,bachelor's degree,standard,completed,99,100,100,299
461,male,group D,associate's degree,standard,none,72,73,69,214
462,male,group C,some high school,standard,none,57,56,51,164
463,female,group D,associate's degree,standard,none,74,74,78,226
464,female,group C,master's degree,standard,none,85,83,78,246
465,female,group C,master's degree,free/reduced,none,61,79,76,216
466,female,group E,associate's degree,free/reduced,none,63,64,71,198
467,male,group C,some high school,standard,none,45,44,40,129
468,male,group D,bachelor's degree,standard,none,77,69,68,214
469,female,group D,associate's degree,standard,none,76,80,80,236
470,male,group C,bachelor's degree,standard,none,66,57,57,180
471,female,group B,some high school,standard,none,66,82,75,223
472,male,group E,master's degree,free/reduced,none,59,71,71,201
473,female,group D,bachelor's degree,free/reduced,none,61,77,78,216
475,female,group E,master's degree,standard,none,94,100,95,289
476,male,group D,some high school,free/reduced,completed,44,53,48,145
477,female,group D,master's degree,standard,none,89,87,97,273
478,male,group B,bachelor's degree,standard,none,76,71,69,216
479,female,group E,bachelor's degree,standard,none,92,92,90,274
480,male,group A,some high school,standard,completed,84,74,79,237
481,female,group C,some college,free/reduced,completed,62,74,81,217
482,male,group D,master's degree,standard,none,96,90,91,277
483,male,group C,some college,free/reduced,completed,65,70,66,201
484,female,group E,high school,free/reduced,completed,54,61,67,182
485,male,group C,high school,standard,none,63,63,59,185
486,female,group B,associate's degree,standard,none,47,51,49,147
487,female,group E,some high school,standard,none,70,72,67,209
488,male,group B,high school,standard,none,60,60,59,179
489,female,group C,master's degree,free/reduced,completed,69,85,86,240
490,female,group C,some high school,standard,none,63,51,61,175
491,female,group C,bachelor's degree,standard,completed,67,76,83,226
492,male,group C,bachelor's degree,standard,none,71,61,64,196
493,male,group C,high school,standard,none,55,50,49,154
494,female,group E,master's degree,standard,none,89,93,90,272
495,male,group D,some high school,standard,none,88,78,77,243
496,male,group D,some high school,standard,none,76,64,65,205
497,male,group C,associate's degree,standard,none,80,85,76,241
498,female,group B,high school,standard,none,72,81,81,234
499,female,group D,associate's degree,standard,completed,50,70,66,186
500,female,group B,associate's degree,free/reduced,completed,51,58,65,174
501,male,group C,bachelor's degree,free/reduced,none,39,50,48,137
502,male,group D,high school,standard,none,59,63,55,177
503,female,group B,bachelor's degree,standard,none,77,86,81,244
504,male,group D,high school,standard,none,77,76,80,233
505,female,group B,master's degree,standard,none,84,92,93,269
506,male,group E,some high school,free/reduced,none,63,57,50,170
507,female,group C,master's degree,standard,completed,71,80,85,236
508,female,group E,associate's degree,free/reduced,completed,83,90,88,261
509,female,group B,some college,standard,none,69,84,75,228
510,female,group E,bachelor's degree,standard,completed,94,95,97,286
511,male,group C,associate's degree,free/reduced,none,67,62,67,196
512,female,group C,some high school,standard,none,63,71,63,197
513,male,group B,associate's degree,standard,completed,83,82,85,250
514,female,group D,some college,standard,completed,46,51,63,160
515,female,group A,associate's degree,standard,none,77,83,80,240
516,female,group B,associate's degree,standard,completed,74,83,88,245
517,male,group A,some high school,standard,none,60,56,47,163
518,male,group C,some college,free/reduced,completed,62,70,72,204
519,male,group D,high school,standard,none,67,67,63,197
520,female,group D,high school,free/reduced,none,56,63,65,184
521,male,group B,some high school,standard,completed,69,75,70,214
522,male,group E,some high school,free/reduced,completed,80,73,76,229
523,male,group A,some college,standard,none,62,59,57,178
524,male,group C,some high school,free/reduced,completed,61,70,70,201
525,female,group C,high school,standard,none,48,64,60,172
526,female,group D,bachelor's degree,standard,none,82,82,90,254
527,female,group D,high school,standard,completed,75,76,80,231
528,female,group A,associate's degree,standard,none,68,60,66,194
529,male,group C,some high school,free/reduced,none,61,54,48,163
530,female,group B,some high school,free/reduced,none,50,57,49,156
531,female,group E,some high school,standard,none,83,74,84,241
532,female,group A,associate's degree,free/reduced,completed,55,77,71,203
533,male,group A,bachelor's degree,standard,none,89,76,69,234
534,female,group C,master's degree,standard,completed,52,63,62,177
535,male,group C,associate's degree,standard,none,86,84,82,252
536,male,group E,associate's degree,standard,none,83,70,60,213
537,male,group C,some college,standard,none,50,58,47,155
538,male,group C,associate's degree,standard,none,66,58,55,179
539,male,group D,some high school,standard,completed,78,71,70,219
540,male,group C,high school,standard,none,56,54,44,154
541,male,group E,associate's degree,standard,none,88,85,79,252
542,male,group E,some high school,standard,completed,60,52,52,164
543,female,group C,bachelor's degree,standard,completed,80,92,92,264
544,male,group D,some college,standard,none,71,62,62,195
545,male,group E,associate's degree,free/reduced,none,52,51,51,154
546,female,group B,high school,standard,completed,76,88,90,254
547,female,group E,some college,standard,none,73,84,70,227
548,female,group C,some high school,standard,none,55,67,64,186
549,female,group D,some high school,standard,completed,58,66,71,195
550,female,group E,bachelor's degree,free/reduced,completed,87,99,100,286
551,female,group B,master's degree,standard,none,68,63,62,193
552,female,group C,some college,free/reduced,none,63,69,65,197
553,male,group E,associate's degree,standard,none,83,81,79,243
554,male,group A,high school,standard,none,59,56,47,162
555,male,group A,high school,standard,completed,82,78,76,236
556,male,group C,high school,standard,none,77,66,59,202
557,male,group D,high school,free/reduced,none,38,30,34,102
558,female,group D,high school,standard,none,60,80,72,212
559,male,group D,associate's degree,standard,completed,98,89,90,277
560,male,group B,bachelor's degree,free/reduced,none,59,51,54,164
561,female,group B,associate's degree,standard,completed,71,79,81,231
562,male,group C,high school,standard,completed,67,72,74,213
563,male,group D,some high school,free/reduced,completed,68,71,71,210
564,female,group D,some college,standard,none,64,88,81,233
565,male,group C,high school,free/reduced,none,59,66,56,181
566,female,group D,some high school,free/reduced,completed,32,36,38,106
567,male,group C,some college,standard,completed,80,73,76,229
568,female,group C,bachelor's degree,standard,none,84,97,97,278
569,female,group A,some college,free/reduced,none,42,59,61,162
570,male,group C,some college,standard,none,52,51,49,152
571,female,group D,bachelor's degree,standard,completed,69,75,82,226
572,female,group B,some college,standard,none,75,80,81,236
573,female,group D,some college,standard,none,65,71,74,210
574,male,group E,bachelor's degree,standard,none,100,78,83,261
575,male,group D,some college,free/reduced,none,65,63,63,191
576,female,group E,bachelor's degree,standard,completed,53,60,61,174
577,male,group D,some college,standard,completed,68,61,65,194
578,female,group C,associate's degree,standard,none,93,100,98,291
579,male,group C,high school,standard,completed,58,53,49,160
580,male,group C,associate's degree,free/reduced,none,53,56,49,158
581,male,group C,associate's degree,standard,none,48,49,50,147
582,female,group C,some college,free/reduced,completed,68,83,88,239
583,female,group C,associate's degree,standard,none,56,58,62,176
584,male,group C,associate's degree,standard,none,47,35,36,118
585,female,group B,associate's degree,standard,none,62,92,84,238
586,female,group E,high school,free/reduced,none,53,61,56,170
587,male,group C,master's degree,standard,completed,72,62,66,200
588,female,group E,high school,free/reduced,none,62,75,67,204
589,female,group C,some college,free/reduced,none,35,54,50,139
590,female,group D,master's degree,free/reduced,none,84,91,96,271
591,female,group D,master's degree,standard,completed,89,100,100,289
592,female,group D,some high school,free/reduced,completed,39,56,52,147
593,female,group C,high school,free/reduced,completed,50,67,65,182
594,female,group C,master's degree,standard,none,50,66,62,178
595,male,group C,some college,standard,none,80,76,75,231
596,male,group D,some college,standard,none,88,92,90,270
597,male,group B,some high school,standard,completed,85,82,83,250
598,male,group E,master's degree,free/reduced,none,67,64,53,184
599,male,group C,high school,standard,none,76,73,68,217
600,male,group C,some college,standard,none,71,60,57,188
601,female,group C,some college,standard,completed,50,56,57,163
602,female,group C,master's degree,standard,none,66,73,74,213
603,female,group B,associate's degree,standard,completed,69,76,71,216
604,female,group C,some college,standard,completed,53,60,64,177
605,female,group C,associate's degree,free/reduced,completed,57,70,73,200
606,male,group E,master's degree,standard,completed,100,100,100,300
607,male,group A,master's degree,free/reduced,none,60,60,56,176
608,female,group D,associate's degree,free/reduced,completed,50,61,71,182
609,male,group C,master's degree,standard,completed,100,98,100,298
610,female,group C,associate's degree,standard,completed,76,85,85,246
612,female,group C,some college,free/reduced,none,46,52,56,154
613,female,group D,bachelor's degree,free/reduced,none,61,69,70,200
614,female,group B,high school,free/reduced,none,63,72,68,203
615,female,group E,high school,standard,none,61,68,65,194
616,male,group A,bachelor's degree,free/reduced,none,86,86,83,255
617,female,group D,bachelor's degree,free/reduced,none,44,61,64,169
618,male,group A,high school,standard,none,87,86,77,250
619,male,group C,some college,standard,completed,58,51,55,164
620,female,group E,some college,free/reduced,none,84,91,94,269
621,male,group D,some high school,standard,none,85,67,72,224
622,female,group D,some college,standard,completed,68,76,83,227
623,male,group E,some college,standard,completed,73,58,62,193
624,female,group D,associate's degree,free/reduced,completed,48,57,65,170
625,female,group D,bachelor's degree,standard,completed,95,100,100,295
626,male,group B,some college,standard,completed,89,76,77,242
627,male,group D,some high school,standard,completed,68,72,69,209
628,male,group E,master's degree,standard,completed,72,59,66,197
629,female,group D,some college,standard,none,68,66,70,204
630,male,group E,master's degree,free/reduced,completed,86,73,77,236
631,male,group C,some college,standard,completed,59,49,46,154
632,female,group C,bachelor's degree,free/reduced,completed,77,88,91,256
633,male,group D,some high school,standard,completed,78,81,85,244
634,female,group E,high school,standard,none,83,74,78,235
635,female,group C,bachelor's degree,free/reduced,none,75,84,89,248
636,female,group C,some high school,free/reduced,completed,56,70,69,195
637,male,group D,associate's degree,free/reduced,completed,83,86,86,255
638,female,group B,high school,standard,none,72,79,75,226
639,female,group C,high school,free/reduced,none,58,68,65,191
640,female,group E,some high school,standard,none,77,79,75,231
641,female,group A,associate's degree,standard,none,87,96,91,274
642,female,group C,some college,free/reduced,none,51,65,66,182
643,female,group A,bachelor's degree,standard,none,89,96,96,281
644,male,group C,some high school,free/reduced,completed,62,65,63,190
645,female,group B,some college,standard,completed,72,93,86,251
646,male,group D,some college,free/reduced,none,83,82,76,241
647,female,group C,some college,standard,none,51,59,56,166
648,male,group D,some high school,free/reduced,completed,66,64,65,195
649,male,group D,some college,standard,none,75,74,76,225
650,female,group E,high school,standard,none,77,81,77,235
651,female,group B,some high school,free/reduced,none,43,37,45,125
652,female,group E,associate's degree,standard,none,80,76,75,231
653,female,group C,high school,standard,none,57,69,64,190
654,male,group C,associate's degree,free/reduced,none,60,58,59,177
655,male,group C,some college,standard,completed,57,56,57,170
656,female,group C,associate's degree,standard,completed,87,93,92,272
657,female,group D,some college,standard,none,47,54,55,156
658,male,group C,associate's degree,standard,none,70,70,62,202
659,female,group D,master's degree,free/reduced,none,57,68,65,190
660,male,group B,some college,standard,none,68,71,69,208
661,female,group D,high school,free/reduced,none,63,78,74,215
662,female,group B,high school,free/reduced,none,73,78,84,235
663,male,group D,high school,standard,none,82,66,69,217
664,male,group C,some high school,standard,completed,68,56,57,181
665,female,group B,some college,standard,completed,54,74,76,204
666,female,group C,high school,standard,completed,68,65,69,202
667,male,group D,some high school,free/reduced,none,60,52,49,161
668,female,group A,high school,standard,none,65,69,67,201
669,male,group C,master's degree,free/reduced,completed,77,77,76,230
670,male,group E,associate's degree,standard,completed,85,82,79,246
671,male,group B,associate's degree,free/reduced,none,53,40,44,137
672,male,group D,master's degree,free/reduced,completed,96,89,96,281
673,male,group D,some high school,standard,none,65,55,53,173
674,male,group D,high school,standard,completed,70,81,82,233
675,male,group B,high school,free/reduced,completed,37,44,34,115
676,male,group C,associate's degree,free/reduced,none,61,60,57,178
677,male,group C,bachelor's degree,free/reduced,completed,87,89,88,264
678,female,group D,some high school,standard,none,51,65,65,181
679,female,group D,some high school,standard,none,78,78,81,237
680,male,group D,associate's degree,standard,none,77,69,68,214
681,male,group C,some college,standard,none,55,35,42,132
682,male,group E,some college,free/reduced,none,83,83,74,240
683,male,group D,associate's degree,standard,none,58,54,55,167
684,female,group C,some college,standard,none,61,68,70,199
685,male,group E,some high school,standard,completed,63,58,57,178
686,male,group C,associate's degree,standard,none,78,74,75,227
687,male,group A,associate's degree,standard,none,67,67,65,199
688,female,group C,high school,free/reduced,completed,42,49,53,144
689,male,group C,associate's degree,free/reduced,none,75,77,69,221
690,female,group C,some high school,standard,none,45,55,60,160
691,male,group B,high school,standard,none,61,43,57,161
692,male,group D,some high school,standard,completed,86,92,94,272
693,female,group D,associate's degree,standard,none,83,84,88,255
694,male,group E,associate's degree,free/reduced,none,88,77,77,242
695,female,group C,some high school,free/reduced,none,71,86,78,235
696,female,group B,master's degree,standard,completed,80,87,93,260
697,female,group D,some high school,standard,none,52,55,59,166
698,female,group C,some college,free/reduced,none,48,53,51,152
699,male,group C,some high school,free/reduced,completed,76,81,75,232
700,male,group E,high school,standard,none,57,51,47,155
701,male,group C,some college,standard,none,79,76,72,227
702,female,group D,some high school,standard,none,65,64,65,194
703,female,group C,master's degree,standard,none,63,72,67,202
704,female,group E,some college,free/reduced,none,70,76,75,221
705,female,group C,some high school,standard,none,57,69,69,195
706,male,group C,high school,free/reduced,completed,55,48,51,154
707,female,group D,bachelor's degree,standard,completed,87,98,100,285
708,female,group B,some college,standard,none,46,54,52,152
709,female,group B,high school,free/reduced,completed,43,57,62,162
710,female,group B,some college,free/reduced,none,51,66,67,184
711,male,group E,associate's degree,standard,none,97,86,85,268
712,male,group C,master's degree,free/reduced,none,85,82,81,248
713,female,group C,some high school,standard,completed,92,95,100,287
714,male,group A,associate's degree,standard,completed,69,70,72,211
715,male,group D,associate's degree,free/reduced,none,60,47,49,156
716,female,group E,some college,free/reduced,none,55,62,57,174
717,female,group A,associate's degree,free/reduced,none,47,71,70,188
718,male,group E,high school,standard,completed,100,96,93,289
719,female,group B,some high school,standard,none,60,78,74,212
720,male,group D,bachelor's degree,standard,none,76,72,73,221
721,female,group A,some high school,free/reduced,completed,64,72,74,210
722,male,group D,associate's degree,standard,completed,90,92,89,271
723,male,group C,high school,free/reduced,completed,48,53,48,149
724,female,group C,high school,standard,none,60,74,74,208
725,male,group A,some high school,standard,none,62,61,58,181
726,male,group D,some high school,free/reduced,completed,68,68,65,201
727,female,group B,some high school,standard,none,81,86,77,244
728,female,group C,bachelor's degree,free/reduced,none,64,77,74,215
729,female,group C,some college,standard,none,68,75,71,214
730,female,group E,associate's degree,standard,none,82,76,75,233
731,male,group D,some high school,standard,completed,88,74,74,236
732,female,group B,associate's degree,free/reduced,completed,63,70,74,207
733,male,group A,some college,standard,completed,79,79,77,235
734,male,group B,associate's degree,standard,none,55,56,53,164
735,male,group B,some high school,free/reduced,completed,58,56,51,165
736,female,group C,some high school,standard,none,57,64,62,183
737,female,group C,some high school,standard,none,41,53,51,145
738,male,group A,associate's degree,standard,completed,97,100,95,292
739,female,group B,high school,standard,none,86,87,82,255
740,male,group D,some high school,standard,none,57,47,50,154
741,female,group C,high school,free/reduced,none,41,55,52,148
742,female,group C,master's degree,standard,completed,83,92,95,270
744,male,group D,some high school,standard,none,88,79,81,248
745,female,group C,high school,standard,completed,53,70,70,193
746,male,group B,associate's degree,free/reduced,none,57,50,50,157
748,male,group E,master's degree,free/reduced,none,78,74,68,220
749,female,group D,some college,free/reduced,completed,56,64,69,189
750,male,group B,some college,standard,none,71,72,65,208
751,male,group E,associate's degree,standard,none,100,97,88,285
752,female,group C,bachelor's degree,free/reduced,none,53,73,68,194
753,female,group E,some high school,standard,none,79,96,89,264
754,female,group C,bachelor's degree,standard,none,57,63,59,179
755,female,group A,some high school,free/reduced,none,51,60,50,161
756,female,group C,some college,standard,none,83,86,89,258
757,male,group C,associate's degree,standard,completed,80,78,82,240
758,male,group D,some high school,free/reduced,none,70,59,56,185
759,male,group D,bachelor's degree,free/reduced,none,86,80,79,245
760,female,group B,associate's degree,standard,none,62,65,56,183
761,female,group A,associate's degree,standard,none,60,61,59,180
762,female,group E,some college,standard,none,50,48,51,149
763,male,group B,high school,standard,none,68,69,64,201
764,male,group B,high school,free/reduced,none,58,47,50,155
765,male,group C,high school,standard,none,62,63,56,181
766,female,group B,some high school,free/reduced,none,47,68,61,176
767,male,group E,associate's degree,standard,completed,83,85,84,252
768,female,group E,bachelor's degree,standard,none,81,77,75,233
769,female,group C,bachelor's degree,free/reduced,none,33,43,45,121
770,female,group C,bachelor's degree,standard,none,45,55,54,154
771,male,group D,high school,standard,none,68,67,66,201
772,female,group D,some high school,standard,none,64,70,74,208
773,male,group E,some college,standard,completed,73,75,70,218
774,male,group A,some college,standard,none,57,48,45,150
775,male,group D,bachelor's degree,free/reduced,none,86,76,70,232
776,male,group D,some college,free/reduced,none,51,61,62,174
777,female,group E,some high school,free/reduced,none,49,63,58,170
778,male,group E,high school,free/reduced,none,60,62,56,178
779,female,group D,high school,standard,none,65,55,61,181
780,male,group C,high school,free/reduced,completed,51,53,56,160
781,male,group E,some college,free/reduced,none,71,67,63,201
782,male,group D,some college,standard,none,71,61,56,188
783,female,group E,associate's degree,standard,none,72,71,74,217
